entity,summary,subtract,sentiment
the US Department of Commerce,"This morning, the U.S. Department of Commerce announced that its ""third"" estimate for the rate of growth in 4Q21 GDP was 6.9%. This was slightly below the previous estimates but in line with the consensus outlook. In our estimation, this will be the last time for a long time that the country experiences GDP growth in the 7.0% range. The 4Q period was post-Delta and pre-Omicron. In addition, since the end of the fourth quarter, Russia has invaded Ukraine and the Federal Reserve has started to raise short-term interest rates. These factors, as well as the inevitable emergence of new COVID strains, are likely to send GDP growth back down to the pre-pandemic level of 2.0%-3.0%. The GDP report also includes an inflation gauge, the PCE price index. This index, excluding food and energy, rose at a 5.0% pace, well ahead the Federal Reserve's inflation target of 2.0% and above the 4.6% rate recorded in 3Q21. Looking ahead, our forecast for 2022 GDP growth is now 3.1%, compared to our estimate for 2021 GDP growth of 5.6%.","For the first time in more than a decade, the US economy grew at an annual rate of 6.9% in the fourth quarter of last year, according to the latest figures from the US Department of Commerce and the Office for National Statistics.",positive
stock on Wall Street,"Stocks finished lower on Thursday amid continued concerns about the war in Ukraine and surging consumer prices. The Labor Department said that its consumer price index rose 7.9% year-over-year in February, up from 7.5% in January and the fastest increase in 40 years. On the employment front, first-time claims for state unemployment benefits rose by 11,000 to 227,000 for the week ended March 5 and topped the consensus forecast. The Dow fell 0.34%, the S&P 0.43%, and the Nasdaq 0.95%. Crude oil traded near $106 per barrel, while gold rose $12 to $2001 per ounce.","Stocks on Wall Street closed lower as investors digested a raft of economic data that showed a sharp rise in consumer prices and a rise in the number of people claiming unemployment benefits for the first time in more than a decade, reports the US Labor Department.",positive
stock on Wall Street,"Stocks rose strongly on Friday morning, led by the Technology and Communication Services sectors, after recovering from sharp early losses. But there were more signs of accelerating inflation. The Commerce Department said that its personal consumption expenditures index rose 5.8% from the prior year in December, up from 5.7% growth in November and in line with the Bloomberg consensus forecast. The Dow rose 0.5%, the S&P 1.2%, and the Nasdaq 2.0%. Crude oil rose more than 1% to $88 per barrel, while gold traded near $1786 per ounce.","Stocks on Wall Street rose on Friday after the US economy reported better-than-expected growth in December, boosted by a pick-up in the oil price and a rise in the value of the price of foreign-dissolved commodities.",positive
US stock,"The U.S. Department of Commerce announced that its ""third"" estimate for 3Q21 GDP growth was a rate of 2.3%. This was slightly above the previous estimates but in line with the consensus outlook. The growth rate, while positive, was more than 400 basis points below the 1H21 average of 6.5%, due to the emergence of the Delta variant of COVID-19. (The Omicron variant is also likely to have a negative impact on GDP in 2022, but we don't anticipate the impact will be as severe.) The GDP report also includes an inflation gauge, the PCE price index. This index, excluding food and energy, rose at a 4.6% pace, well ahead the Federal Reserve's inflation target of 2.0%, but down from the 6.1% rate recorded in 2Q21. Looking ahead, we expect above-trend GDP growth for the next few quarters. But there may be bumps along the way, including the impact of the Omicron variant on jobs and consumer spending on services, as well as supply-chain bottlenecks. Our forecast for 2022 GDP growth is 3.7%, compared to our estimate for 2021 GDP growth of 5.5%."," The US economy grew at an annual rate of 2.3% in the third quarter of the year, compared with the same period in the previous quarter, according to the latest figures from the US Department of Commerce and the Office for National Statistics.",positive
BlackRock,"Sustainable Impact Investing is gaining traction with the global investment community. In January 2020, BlackRock CEO Lawrence Fink, who oversees approximately $9 trillion in assets, announced that his firm would be investing in companies that are making progress on sustainability. He doubled down in his January 2021 letter, calling on company managements to disclose their plans for making their businesses ""compatible with a net-zero economy"" by 2050. As assets have flowed in over the past 40 years, Sustainable Impact Investing has evolved. The discipline, originally known as Socially Responsible Investing, focused at first on excluding companies that conducted business in South Africa, or participated in industries such as tobacco, alcohol, and firearms. But the performance of these initial strategies lagged, and the approach has been modified. Now, instead of merely identifying industries to avoid, the discipline promotes ""sustainable"" business practices across all industries that can have an ""impact"" on global issues such as the climate, hunger, poverty, disease, shelter, and workers' rights."," A new approach to investing in ""sustainable"" companies has been launched by one of the world's biggest fund managers, BlackRock, and its chief executive, Lawrence Fink, who set out his vision for the future of the global economy.",positive
US stock,"Stocks rose strongly on Thursday as investors weighed new GDP and employment data along with 3Q earnings reports from a range of major companies. The Commerce Department said that 3Q GDP rose just 2.0%, down from 6.7% in 2Q and below the Reuters consensus of 2.7%. First-time unemployment claims fell to a new pandemic-era low of 281,000, down from 291,000 a week earlier and below the consensus forecast of 288,000. Continuing claims dropped to 2.243 million from 2.480 million a week earlier, and were also below consensus. The Dow rose 0.68%, the S&P 0.98%, and the Nasdaq 1.39%. Crude oil rose to $83 per barrel, while gold rose slightly to $1800 per ounce."," US stocks closed higher on Friday, boosted by better-than-expected economic data and a fall in the number of people claiming unemployment-related benefits for the first time in more than a decade, but still fell short of expectations.",positive
stock on Wall Street,"Earnings season has started -- and in the micro-burst that was last week, positive bank earnings (and a pandemic-low jobless-claims report) left the DJIA up 1.58%, the S&P 500 up 1.82%, and the Nasdaq Composite up 2.18%. Indeed, investors seem to be in a pretty-good mood as they survey third-quarter earnings and the fourth-quarter landscape. So how about corporate insiders?"," It's been a good week for Wall Street, with the Dow Jones and the S&P 500 closing at record highs for the first time in more than a decade, and the latest round of quarterly earnings reports has been a mixed bag for investors.",positive
US economy,"October is off to a rocky start, although the market eked out a win last week. Investors took the disappointing jobs number as well as could be expected. While the absolute number of jobs gained was well under expectations, some economists believe the seasonal adjustment (related to limited return to classrooms in fall 2020) may have skewed the data, and that without adjustments the job tally would have been higher."," The US economy grew at its slowest pace in more than a decade in October, according to the latest figures from the US Department of Labor, while the unemployment rate fell to a five-year low for the first time in nearly five years.",positive
US economy,"The U.S. Department of Commerce announced that its third estimate for 2Q21 GDP growth was a rate of 6.7%. This was in line with the previous estimates and with the consensus outlook, and represents a robust recovery. The GDP report also includes an inflation gauge, the PCE price index.  This index, excluding food and energy, rose at a 6.1% pace, well ahead the Federal Reserve's inflation target of 2.0%, though the Fed has said that it will allow inflation to run hot for a while before raising short-term interest rates. Looking ahead, we expect above-trend GDP growth for the next few quarters. But there may be bumps along the way, including the impact of the delta variant on jobs and consumer spending on services, as well as supply-chain bottlenecks. Speaking of the employment environment, unemployment claims rose last week to 362,000, according to the Labor Department. This was the third consecutive week of rising claims. The four-week average of continued claims (the chronically unemployed) was 2.8 million, flat week-to-week and down from the pandemic highs of more than 20 million in May 2020 (but still substantially higher than the 1.7 million reading in February 2020, before the pandemic struck)."," The US economy grew at an annual rate of 6.7% in the second quarter of the year, according to official figures, the fastest growth since the global financial crisis in 2008 and the biggest rise in unemployment since the 2008-09 financial crisis.",negative
US stock,"In the trading week ended September 10, the stock market did what it often does in September -- which is head lower. The S&P 500 fell 1.69% and the Nasdaq Composite declined 1.61%. The DJIA fared the worst, declining 2.15%, weighed down by Boeing. "," US stocks closed lower on Friday, with the Dow Jones and S&P 500 both closing down more than 1% for the first time in more than a decade in the wake of a sell-off in the US Federal Reserve's decision to raise interest rates.",positive
Stocks in the technology sector,"The Technology sector started slowly in 2021 as investors focused on value stocks. But the sector has come on strong in recent months (up 22% year-to-date) and now is outperforming the market (up 20.7%) as well as value sectors such as Consumer Staples (+8%), Utilities (+10%), Materials (+17%), and Industrials (+18%). The sector is the largest in the U.S. market and now accounts for more than 28% of the S&P 500. Over the long term, we expect the sector to benefit from pervasive digitization across the economy, greater acceptance of transformative technologies, and the development of the Internet of Things (IoT). Healthy company and sector fundamentals are also positive. For individual companies, these include high cash levels, low debt, and broad international business exposure. We have an Over-Weight ranking on the Tech sector and think investors should look to allocate up to 30% of their diversified portfolios to the group.  Here is how we use our analysts' Tech sector ideas in our Focus List and Model Portfolios.","Stocks in the technology sector have been outperforming the S&P 500 for the first time in more than a decade, according to research carried out by the New York Stock Exchange and the Institute for Economic Co-operation and Development (IoT).",positive
US stock,"A lot of attention these days is being given to the fact that the mega-cap S&P 500, Nasdaq Composite, and Nasdaq 100 (QQQ) are printing all-time highs almost on a daily basis. Yet slowly but surely, there is some clearing of the clouds for mid-cap and small-cap stocks. While we need more confirmation (and a couple of weeks of relative strength versus the ""500"" is certainly not enough), there is a glimmer of sunshine through the stormy clouds."," It's been a rollercoaster week for US stock markets in recent weeks, with the Dow Jones closing at another record high and the S&P 500 closing at a new all-time high for the first time in more than two decades.",positive
UK stock,"July's stock-market performance was positive and had a bit of everything, as the wacky year continues. Large-cap stocks did well, but small-caps did not as the recovery trade continued to lose momentum. Sector strength was tilted toward low-beta defensive stocks, yet Technology also saw nice gains. Talk about a dichotomy!"," Here's a look back at some of the key stories that made the headlines in the UK stock market over the past few days, as well as what you might have missed out on in the run-up to the general election on 8 July.",negative
stock on Wall Street,"Stocks were mixed on Wednesday morning as investors weighed earnings reports from Alphabet, Apple, and Microsoft, and awaited the Fed's policy statement and comments from Fed Chair Jerome Powell this afternoon. Investors will be closely scrutinizing Mr. Powell's comments regarding the state of the economy, the impact of the Delta variant, and the timing of any reduction in the central bank's bond buying program. The Dow fell 0.1%, the S&P rose 0.1%, and the Nasdaq rose 0.7%. Crude oil traded near $72 per barrel, while gold fell $3 to $1797 per ounce.",Stocks on Wall Street were mixed on Wednesday as investors awaited comments from the US Federal Reserve on the state of the economy and the outlook for the Federal Reserve's decision to raise interest rates for the first time in more than a quarter of a century.,positive
US economy,"The U.S. Department of Commerce last week announced that its third estimate for 1Q20 GDP growth was a rate of 6.4%. This was in line with the previous estimates and with the consensus outlook, and represents a robust recovery. The report also includes an inflation gauge, the PCE price index. This index, excluding food and energy, rose at a 2.5% pace, well ahead the Federal Reserve's inflation target of 2.0%, though the Fed has said that it will allow inflation to run hot for a while before raising short-term interest rates. We expect above-trend GDP growth for the next few quarters. But there may be bumps along the way. Some segments of the economy are back to or above pre-pandemic highs. These include consumer spending on durable and nondurable goods as well as investment into residential and intellectual property products. Other segments continue to lag, such as consumer spending on services, investment into structures, and exports."," The US economy grew at a faster-than-expected rate of 6.4% in the first quarter of the year, compared with the same period in the second quarter of last year, according to the latest figures from the US Department of Commerce.",positive
US Federal Reserve,"In our Wednesday comment, we noted that we don't often try to predict what the U.S. Dollar Index (USD) will do. We also mentioned that the direction of the USD was very important to the euro and to metals. The Fed proved that point on Wednesday, with results that ran into Thursday."," As the US Federal Reserve prepares to raise interest rates for the first time in more than a decade, we take a look at some of the key factors that the central bank is likely to use to decide whether to keep interest rates low or raise rates.",positive
US stock,"Stocks rose on Thursday as investors looked past more signs of inflation in the government's May consumer price data. The Labor Department said that the CPI rose 5.0% year-over-year in May, up from 4.2% in April. The reading was above the Reuters consensus forecast of 4.7% and the sharpest annual increase since 2008. The core CPI, excluding food and energy, also rose 3.8% from the prior year. On the employment front, first-time jobless claims fell to a new pandemic era low of 376,000, down from the prior week but slightly above consensus. Continuing claims fell to 3.499 million, down from 3.757 million a week earlier and below the consensus forecast of 3.665 million. The Dow rose 0.06%, the S&P 0.47%, and the Nasdaq 0.78%. Crude oil rose slightly to $70 per barrel, while gold fell $6 to $1901 per ounce.","US stocks closed higher on Thursday, boosted by better-than-expected US consumer price data and a fall in the number of people claiming unemployment-related benefits for the first time in more than a decade, but still fell short of expectations.",positive
sustainable impact,"Sustainable Impact investing continues to grow. According to Opimas, a management consultancy focused on global capital markets, global assets under management in ESG strategies grew to $40.5 trillion in 2020, doubling in four years and tripling in eight. As assets have flowed in, SRI investing has evolved over the past 40 years. Now, instead of merely identifying industries to avoid, the discipline promotes ""sustainable"" business practices across all businesses that can have an ""impact"" on global issues such as workers' rights, poverty, hunger, and the climate. Based on numerous requests from clients, we have compiled a portfolio of companies followed by Argus Research that are in position to have this type of ""sustainable impact"" on the environment, workplace, and community. These firms have exemplary records not only in delivering on the bottom line, but also in improving the environment, contributing to community relations, and showing respect for their employees. We built our portfolio by identifying companies that are BUY-rated by Argus analysts and also score well on ESG (Environmental, Social and Governance) criteria established by the JUST Capital Foundation. JUST Capital utilizes a combination of polling, data-driven research, and strategic engagement to shift behaviors and activities in corporate America and the financial markets. JUST Capital's mission is to drive measurable corporate change to create a stakeholder-centric, inclusive form of capitalism that reflects the priorities of the American public.  JUST ranks the Russell 1000 on these criteria against a scale of 1-100. Here are company highlights from the Argus U.S. ESG Model Portfolio.","For the first time in 40 years, investors have been able to invest in companies that have a ""sustainable impact"" on the environment and the environment, according to research carried out by Argus Research, a New York-based investment firm.",positive
stock on Wall Street,"Stocks rose modestly on Thursday morning, but gave up strong early gains amid a range of first-quarter earnings reports and new GDP and employment data. Investors also weighed President Biden's ambitious plans for new spending on families and education. The Commerce Department said that the U.S. economy expanded at a 6.4% annualized rate in the first quarter, above the Reuters consensus forecast of 6.1% and up from 4.3% growth in the fourth quarter. The Dow rose 0.1%, the S&P 0.3%, and the Nasdaq 0.1%. Crude oil rose 1.5% to $65 per barrel, while gold traded near $1768 per ounce.","Stocks on Wall Street were mixed on Thursday as investors digested a raft of economic data, including a better-than-expected growth rate and a pledge by US Vice-President Joe Biden to spend more money on boosting the nation's struggling economy.",positive
BlackRock,"Sustainable Impact Investing is gaining traction with the global investment community. In January 2020, BlackRock CEO Lawrence Fink, who oversees approximately $9 trillion in assets, announced that his firm would be investing in companies that are making progress on sustainability. He doubled down in his January 2021 letter, calling on company managements to disclose their plans for making their businesses ""compatible with a net-zero economy"" by 2050. As assets have flowed in over the past 40 years, Sustainable Impact Investing has evolved. The discipline, originally known as Socially Responsible Investing, focused at first on excluding companies that conducted business in South Africa, or participated in industries such as tobacco, alcohol, and firearms. But the performance of these initial strategies lagged, and the approach has been modified. Now, instead of merely identifying industries to avoid, the discipline promotes ""sustainable"" business practices across all industries that can have an ""impact"" on global issues such as the climate, hunger, poverty, disease, shelter, and workers' rights."," A new approach to investing in ""sustainable"" companies has been launched by one of the world's biggest fund managers, BlackRock, and its chief executive, Lawrence Fink, who set out his vision for the future of the global economy.",positive
US economy,"The United States economy is full of innovation. It has to be. Manufacturing industries that dominated the economy decades ago - textiles, televisions, even automobiles, to a large degree - have moved overseas, where costs are lower. Yet the U.S. economy, prior to the pandemic, had expanded to record levels. And now, the U.S. Healthcare industry is mobilizing to improve COVID-19 testing, treatments and vaccines. Consider that U.S. GDP was approximately $1 trillion in 1930 but nearly $22 trillion at the end of 2019. That's growth of 22-times. Meanwhile, the U.S. population has grown less than 3-times during that time span, to 320 million from 120 million. The delta between GDP growth and population growth has been driven in large part by innovation. In addition, the value of listed corporations on U.S. stock exchanges at the end of 2020 was approximately $32 trillion, representing 41% of global equity market capitalization, while U.S. GDP represented only 25% of global GDP. The current low level of interest rates (the benchmark 10-year Treasury bond yield is 1.1%) and the relatively high level of the dollar both attest to the confidence that global investors have in the innovative U.S. economy.","If you want to know what it feels like to be in the midst of a global health crisis, take a look at the US economy, which has been in the news since the outbreak of the World Health Organization (WHO) in March 2014.",negative
Millennies,"There are now more than 80 million Millennials, born between 1982 and 2000 and ranging in age from their early 20s to their late-30s. This generation is the largest in history - bigger than even the Baby Boomers. Yet despite their size, and according to our research, Millennials currently account for 25% of total U.S income - some $3.1 trillion in direct annual purchasing power. Millennials are already coveted by marketers, even though their annual average income is 40% below the spending levels of the generation ahead of them (Gen X) and 30% below the spending levels of Baby Boomers, who are slowing down. But as Millennials rise into their peak earning years, their earnings are expected to grow.","Millennies are the fastest growing generation in the history of the United States, according to a new report from the Office of National Statistics (ONS) and the National Institute for Economic Co-ordination of Public Statistics (NIPS) in the US.",positive
stock on Wall Street,"Stocks rallied on Thursday morning, recovering from Wednesday's selloff, amid lower-than-expected jobless claims. The Labor Department reported that first-time claims for state unemployment benefits fell to 847,000 for the week ended January 23, down from a revised 914,000 a week earlier and below the Bloomberg consensus forecast of 875,000. The Dow rose 1.8%, the S&P 1.6%, and the Nasdaq 0.9%. Crude oil rose to $53 per barrel, while gold traded near $1866 per ounce.","Stocks on Wall Street closed higher on Thursday, boosted by better-than-expected US jobs figures and a rise in the price of oil in the wake of a sell-off in the value of the S&P 500.",positive
US tech stocks,"Major technology indices peaked in early September, consolidated for a couple of months, and then broke out to all-time highs (ATHs) and never looked back. But FAANG stocks went nowhere over that more-than four-month period."," It's been a rollercoaster ride for US tech stocks over the past few weeks, with the Dow Jones closing at a record high and the FTSE 100 index closing at another record high for the first time in more than a decade.",positive
stock on Wall Street,"Smaller stocks had another good day on Tuesday, with the Russell 2000 (IWM) jumping 2.5% and the S&P 600 Small Cap (SML) vaulting 2.6%. The S&P 400 Mid Caps also provided leadership once again, popping 2.4%.","Stocks on Wall Street closed higher on Tuesday, with the FTSE 100 and S&P 500 closing at record highs for the first time in more than a decade and the Dow Jones Industrial Average closing at another record high.",positive
Technology stocks,"The Technology sector has led the market recovery from the COVID-19 depths of March 2020. Through November 20, the sector was up 31% for the year, compared to a 10% gain for the S&P 500. The Tech sector is the largest in the U.S. market and now accounts for more than 27% of the S&P 500. Over the long term, we expect the Tech sector to benefit from pervasive digitization across the economy, greater acceptance of transformative technologies, and the development of the Internet of Things (IoT): Healthy company and sector fundamentals are also positive. For individual companies, these include high cash levels, low debt, and broad international business exposure. We have an Over-Weight ranking on the Tech sector and think investors should look to allocate up to 30% of their diversified portfolios to the group. Here is how we use our Tech sector ideas from our analysts in our Focus List and Model Portfolios.","Technology stocks were the biggest gainers on the S&P 500 in the first half of the year, up more than 5% on the previous quarter, according to a new report from the New York Stock Exchange and the Institute for Fiscal Studies.",positive
stock on Wall Street,"It has been a November to remember, so far. Since the October 30 close, the S&P 500 has advanced 9.3% in just a handful of trading days. That can often be a harbinger of better days to come in the market -- particularly when short and furious rallies occur in the final quarter.","Stocks on Wall Street have had their best day of the year so far, with the Dow Jones closing at an all-time high and the S&P 500 closing at a record high for the first time in more than three and a half years.",positive
Argus Research,"Sustainable Impact Investing is gaining traction not only with Argus Research clients, but also with the global investment community. In January, BlackRock CEO Lawrence Fink, who oversees approximately $7 trillion in assets, announced that his firm would be investing in companies that are making progress on sustainability. Mr. Fink's new focus follows rapid growth in sustainable assets in recent years. According to Opimas, a management consultancy focused on global capital markets, global assets under management in ESG strategies had grown to $40.5 trillion in 2020, doubling in four years and tripling in eight years. There were almost 400 ESG strategies launched in the Morningstar investment universe in 2019, compared with around 160 launches in 2016.  The UN Principles for Responsible Investing -- to which Argus Research is a signatory -- now represents more than 1,750 signatories with assets of US $80 trillion, according to Barron's. As assets have flowed in, SRI investing has evolved over the past 40 years.  Now, instead of merely identifying industries to avoid, the discipline promotes ""sustainable"" business practices across all businesses that can have an ""impact"" on global issues such as workers' rights, poverty, hunger and the climate. Based on numerous requests from clients, we have compiled a list of companies followed by Argus Research that are in position to have this type of ""sustainable impact"" on the environment, workplace and community.  These firms have exemplary records not only in delivering on the bottom line, but also in improving the environment, contributing to community relations, and showing respect for their employees. We derived our list by identifying companies that are either BUY-rated or HOLD-rated by Argus analysts, and also score highly on ESG (Environmental, Social and Governance) criteria established by the JUST Capital Foundation. JUST Capital utilizes a combination of polling, data-driven research, and strategic engagement to shift behaviors and activities in corporate America and the financial markets. JUST Capital's mission is to drive measurable corporate change to create a stakeholder-centric, inclusive form of capitalism that reflects the priorities of the American public.  JUST ranks the Russell 1000 on these criteria against a scale of 1-100. Here are the companies in the Argus Universe that score highest on the scale.  All are rated BUY at Argus."," A new approach to investing in companies that have a ""sustainable impact"" on the environment and the environment has been launched by Argus Research, a New York-based investment firm that specialises in investing in environmentally-friendly and sustainable products.",positive
US stock,"Stocks fell sharply on Friday morning, led by selloffs in the Technology and Consumer Discretionary sectors. Apple shares fell 5%, despite above-consensus earnings, on concerns about weak iPhone sales and declining revenue in China. The company also declined to provide guidance for the current fiscal first quarter. Amazon also posted strong 3Q results but provided disappointing 4Q earnings guidance, sending the shares down about 4%. The Dow fell 1.5%, the S&P 1.8%, and the Nasdaq 2.7%. Crude oil fell to $35.50 per barrel, while gold rose $12 to $1880 per ounce."," US stocks closed lower on Friday, dragged down by disappointing earnings reports from Apple, Amazon and the price of oil hit a seven-month high in the wake of a sell-off in the world's biggest producer of crude oil.",negative
The S&P 500 ,"The stock market closed on October 9 with a winning session, ending its best week in three months. With a close at 3,477, the S&P 500 pulled within 3% of its all-time high of 3,588 from 9/2/20, and the index moved higher still on October 12. The September sell-off -- which resulted in a near-correction (defined as down 10%) for the broad market and full corrections for leading Technology names -- cleared away some (only some) of the excessive optimism. It also partly (only partly) restored some sector balance; two of the best sectors in 4Q20-to-date have been out of favor all year."," The S&P 500 has closed at a record high for the first time in more than two years, following a sell-off in September that led to some of the biggest falls in US stock markets for more than a quarter of the year.",positive
US economy,"The U.S. Department of Commerce announced that its ""third"" estimate for 2Q20 GDP growth was a rate of -31.4%. This was in line with the previous estimates and with the consensus outlook. The GDP report also includes an inflation gauge, the PCE price index. This index, excluding food and energy, decreased at a deflationary 0.8% pace, well below the Federal Reserve's inflation target of 2.0%. This second quarter should be the bottom, and GDP reports going forward should signal recovery and ultimately growth. But there's a deep hole out of which the economy must climb. Personal Consumption Expenditures, which are the core of the economy, declined at a 33% rate in the quarter, including a 42% drop in spending on services. Domestic investment fell at a 47% rate, including 36% declines in both residential investment and investment into industrial equipment.  (Even investment into Intellectual Products, such as software and entertainment declined 11%.)  The one growth area was federal government spending, which rose at a 16% rate. That support may be fleeting if Congress is unable to reach another bipartisan rescue package."," The US economy shrank at an annual rate of -31.4% in the second quarter of the year, according to official figures, the slowest growth since the global financial crisis in 2008 and the worst economic performance since the financial crisis.",negative
UK stock ,"Often overlooked amid the market's gyrations, dividend income is an important element of total return. Consider recent results: in 2015, the S&P 500 delivered a total return of 1.4%, including dividends -- but excluding dividends, the market was down 0.7%. Capital gains were a bit easier to achieve in 2016-17, though we note that dividend payments still contributed about 15%-20% of total return for investors. And dividend payments softened the blow in 2018, when most market indices declined as the Federal Reserve hiked rates. Between 1930 and 2012, dividend income accounted for 42% of total return of the S&P 500, according to Morgan Stanley. Not all dividends are created equal, though, and it is important to understand the difference between high-yield stocks and dividend-growth stocks, particularly in a slow-growth or recessionary economic environment.","US stock markets have been volatile in recent years, with the Dow Jones, S&P 500 and Nasdaq indexes all closing down for the first time in more than a decade, prompting investors to question whether they had done enough to pay their dividends.",positive
Stock markets around the world ,"The market has generally skidded lower over trading days spanning two weeks. Is this a healthy correction of an overbought market, or a sign of further market distress to come? We won't know right away -- but, so far, the stock market mainly has unwound much of its August run-up. ","Stock markets around the world have been volatile since the start of August, with investors worried about the health of the global economy and the outlook for the US economy in the run-up to the Federal Reserve's decision to raise interest rates next month.",negative
US stock,"Stocks rose on Friday, finishing off a strong week that saw major indexes climb higher. Riskier equities outperformed blue chips, a trend that was commonplace during the early weeks of the recovery. On Friday, the Dow Jones Industrial Average gained 162 points, or 0.6%. The S&P 500 was up 0.7% and the Nasdaq Composite was up 0.6%. For the full week, the Dow was up 2.6%, the S&P 500 was up 3.3% and the Nasdaq gained 3.4%. Year-to-date, the DJIA crossed into positive territory this week, and is up 0.4%, the S&P is up 8.6%, and the Nasdaq is up 30.4%. Over the past 52 weeks, the Dow is up 8.5%, the S&P 500 is up 19.9%, and the Nasdaq is up 46.9%. "," US stocks ended the week in positive territory for the first time in more than two years, according to the latest figures from the Dow Jones Industrial Average, which closed at a record high on Friday, and the Nasdaq closed at another record high.",positive
BlackRock,"Sustainable Impact Investing is gaining traction with the global investment community. In January, BlackRock CEO Lawrence Fink, who oversees approximately $7 trillion in assets, announced that his firm would be investing in companies that are making progress on sustainability. Mr. Fink's new focus follows rapid growth in sustainable assets in recent years. According to Opimas, a management consultancy focused on global capital markets, global assets under management in ESG strategies had grown to $40.5 trillion in 2020, doubling in four years and tripling in eight years. As assets have flowed in over the past 40 years, Sustainable Impact Investing has evolved. The discipline, originally known as Socially Responsible Investing, focused at first on excluding companies for various reasons. Now, the discipline promotes ""sustainable"" business practices across all industries that can have an ""impact"" on global issues."," The world's biggest fund manager, BlackRock, has launched a new ""sustainable"" investment strategy that aims to invest in companies that make a positive impact on the world's health and well-being, as well as those that invest in them.",positive
Wall Street Martket,"Stocks were mixed on Friday morning as investors weighed strong earnings reports from major technology companies and positive consumer spending data. The Commerce Department said that U.S. consumer spending rose 5.6% in June, down from 8.5% in May, but above the Reuters consensus forecast of 5.5% growth. The Dow fell 0.5%, the S&P fell 0.1%, and the Nasdaq rose 0.7%. Crude oil rose slightly to $40 per barrel, while gold jumped $28 to $1970 per ounce.","Wall Street markets closed mixed on Friday, with the Dow Jones and the S&P 500 indexes all down for the first time in more than a decade in the wake of a sell-off in oil prices and weak US consumer spending data.",positive
US economy,"Investors had numerous economic reports to digest this morning before the market opened. The US Department of Commerce announced that its ""third"" estimate for 1Q20 GDP growth was a rate of -5.0%.  This was in line with the previous estimates and with the consensus outlook. The GDP report also includes an inflation gauge, the PCE price index. This index, excluding food and energy, increased at a 1.7% pace -- below the Federal Reserve's inflation target of 2.0%. Remember, these readings were for the first quarter; they will get worse in the second quarter. Still, the second quarter should be the bottom. This morning's Durable Goods report indicated an increase in spending on Durable Goods by 15.8% in May versus a decline of 17.7% in April. The Commerce Department also reported that the trade deficit in goods widened in May (bad for 2Q GDP) and that wholesale inventories declined (good for 3Q GDP, as inventories are replenished).  The U.S. Department of Labor reported that another 1.48 million people filed initial unemployment claims.  While still high, the readings have been declining from week to week.  Even so, the continuing claims number remained above 20 million. This typically has been a close approximation to the unemployment rate, which is likely to be at least 13% when reported next week."," The US economy grew at a much slower pace than expected in the first quarter of the year, according to the latest figures from the US Department of Commerce, which were revised down to 0.5% from 0.6% in the previous quarter.",positive
US stock,"Stocks rose on Tuesday morning amid improved business activity and housing market data, along with reassurances from President Trump that the U.S.-China trade deal was 'fully intact.' The president's comments came after White House trade adviser Peter Navarro suggested in a television interview that the deal was 'over.' Mr. Navarro said that his comments were taken 'wildly out of context.' On the housing front, the Commerce Department said that U.S. new home sales rose 16.6% to a seasonally adjusted annual rate of 676,000 units in May, above the Reuters consensus forecast of 640,000. The Dow rose 0.9%, the S&P 1.0%, and the Nasdaq 1.3%. Crude oil traded near $41 per barrel, while gold rose $18 to $1784 per ounce."," US stocks closed higher on Tuesday, boosted by better-than-expected US economic data and a reassurance from President Donald Trump that the US-China trade deal will not be ""crippled"" by a slump in the price of oil.",positive
 The technology sector,"The Technology sector has led the market recovery from the COVID-19 depths of late March.  Through April 30, the sector was flat for the year, compared to a 10% decline for the S&P 500. The sector is the largest in the U.S. market and now accounts for almost 26% of the S&P 500.  Over the long term, we expect the Tech sector to benefit from pervasive digitization across the economy, greater acceptance of transformative technologies, and the development of the Internet of Things (IoT). Healthy company and sector fundamentals are also positive. For individual companies, these include high cash levels, low debt, and broad international business exposure. We have an Over-Weight rating on the Tech sector and think investors should look to allocate up to 30% of their diversified portfolios to the group.  Here is how we use our analysts' Tech sector ideas in our Focus List and Model Portfolios."," The technology sector has been the biggest gainer on the S&P 500 in the first quarter of the year, helping to lift the Dow Jones index to a fresh all-time high of close to 7,000, its highest level since 1999.",positive
US stock,"Stocks fell sharply on Friday morning after President Trump threatened to impose new tariffs on China for its handling of the coronavirus crisis. Manufacturing data was also weak. The Institute for Supply Management said that its factory index fell to 41.5 in April, the lowest level since April 2009, from 49.1 in March. Amazon shares fell more than 7% after the company warned that it could post a quarterly loss due to high expenses related to the pandemic. The S&P fell 2.8%, the Dow 2.4%, and the Nasdaq 3.1%. Crude oil rose slightly to $19 per barrel, while gold rose $14 to $1708 per ounce.","US stocks closed lower on Friday, dragged down by weaker-than-expected US manufacturing data and a warning from Amazon that it could report a quarterly loss for the first time in more than a decade in the wake of the Ebola outbreak.",positive
UK stock,"During the trading week ended 4/17/20, the stock market balanced horrific economic news (weekly unemployment claims, retail sales, industrial production) with hopeful medical news (positive results for GILD's remedesivir) and the government's three-stage plan to reopen the economy. Although the week was positive for stocks, investors are now realizing that the damage to the economy is extensive and will possibly take years to remediate."," The latest round of trading in the UK's stock markets has been dominated by concerns about the state of the economy in the run-up to the general election on 8 June, according to the latest figures from the Office for National Statistics (ONS).",positive
